datetime,Latitude,Longitude,Altitude,(m),Speed(km/h),Total distance(km)
2024-04-02 14:45:02,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:03,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:04,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:05,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:06,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:07,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:08,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:09,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:10,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:11,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:12,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:13,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:14,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:15,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:16,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:17,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:18,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:19,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:45:20,53.355586,-6.280347,80.0,4.1,1.329,
2024-04-02 14:45:21,53.355588,-6.280348,80.0,0.5,1.329,
2024-04-02 14:45:22,53.355587,-6.280344,80.0,1.0,1.329,
2024-04-02 14:45:23,53.355589,-6.28034,80.0,1.1,1.329,
2024-04-02 14:45:24,53.355589,-6.28034,80.0,0.0,1.329,
2024-04-02 14:45:25,53.355589,-6.28034,80.0,0.0,1.329,
2024-04-02 14:45:26,53.355589,-6.28034,80.0,0.0,1.329,
2024-04-02 14:45:27,53.355589,-6.28034,80.0,0.0,1.329,
2024-04-02 14:45:28,53.355589,-6.280342,80.0,0.0,1.329,
2024-04-02 14:45:29,53.355578,-6.280345,80.0,4.2,1.33,
2024-04-02 14:45:30,53.355566,-6.280346,80.0,5.1,1.332,
2024-04-02 14:45:31,53.355559,-6.280338,81.0,3.1,1.333,
2024-04-02 14:45:32,53.355559,-6.280327,81.0,2.8,1.333,
2024-04-02 14:45:33,53.355562,-6.280318,81.0,2.4,1.334,
2024-04-02 14:45:34,53.355563,-6.280315,81.0,0.7,1.334,
2024-04-02 14:45:35,53.355563,-6.280315,81.0,0.0,1.334,
2024-04-02 14:45:36,53.355563,-6.280315,81.0,0.0,1.334,
2024-04-02 14:45:37,53.355563,-6.280315,81.0,0.0,1.334,
2024-04-02 14:45:38,53.355563,-6.280315,81.0,0.0,1.334,
2024-04-02 14:45:39,53.355563,-6.280315,81.0,0.0,1.334,
2024-04-02 14:45:40,53.355563,-6.280315,81.0,0.0,1.334,
2024-04-02 14:45:41,53.355562,-6.280328,82.0,3.2,1.335,
2024-04-02 14:45:42,53.355569,-6.28033,82.0,2.6,1.336,
2024-04-02 14:45:43,53.355576,-6.280326,81.0,3.2,1.337,
2024-04-02 14:45:44,53.355582,-6.280318,81.0,2.9,1.338,
2024-04-02 14:45:45,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:46,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:47,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:48,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:49,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:50,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:51,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:52,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:53,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:54,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:55,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:56,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:57,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:58,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:45:59,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:00,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:01,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:02,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:03,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:04,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:05,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:06,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:07,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:08,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:09,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:10,53.355582,-6.280318,81.0,0.0,1.338,
2024-04-02 14:46:11,53.355582,-6.280318,81.0,0.0,1.338,
